rsi_period,rsi_os,rsi_ob,bb_period,bb_dev,sl_mult,tp_mult,net_kar,toplam_islem,kazanma_orani,profit_factor
7,30,70,20,2.0,1.5,4.0,25.99,20,35.0,1.36
7,30,72,20,2.0,1.5,4.0,25.99,20,35.0,1.36
7,28,72,20,2.0,1.5,4.0,25.99,20,35.0,1.36
7,28,70,20,2.0,1.5,4.0,25.99,20,35.0,1.36
7,30,70,20,2.0,1.5,2.5,17.68,20,45.0,1.29
7,30,72,20,2.0,1.5,2.5,17.68,20,45.0,1.29
7,28,72,20,2.0,1.5,2.5,17.68,20,45.0,1.29
7,28,70,20,2.0,1.5,2.5,17.68,20,45.0,1.29
7,30,70,20,2.0,1.2,2.5,2.45,20,35.0,1.04
7,30,72,20,2.0,1.2,2.5,2.45,20,35.0,1.04
7,28,70,20,2.0,1.2,2.5,2.45,20,35.0,1.04
7,28,72,20,2.0,1.2,2.5,2.45,20,35.0,1.04
7,28,70,20,2.0,2.0,4.0,2.2,20,35.0,1.02
7,28,72,20,2.0,2.0,4.0,2.2,20,35.0,1.02
7,30,72,20,2.0,2.0,4.0,2.2,20,35.0,1.02
7,30,70,20,2.0,2.0,4.0,2.2,20,35.0,1.02
7,30,72,20,2.0,1.2,4.0,1.78,20,25.0,1.03
7,28,70,20,2.0,1.2,4.0,1.78,20,25.0,1.03
7,30,70,20,2.0,1.2,4.0,1.78,20,25.0,1.03
7,28,72,20,2.0,1.2,4.0,1.78,20,25.0,1.03
7,28,70,20,2.0,1.5,3.0,1.65,20,35.0,1.02
7,30,72,20,2.0,1.5,3.0,1.65,20,35.0,1.02
7,30,70,20,2.0,1.5,3.0,1.65,20,35.0,1.02
7,28,72,20,2.0,1.5,3.0,1.65,20,35.0,1.02
7,30,72,20,2.0,2.0,2.5,-2.59,20,45.0,0.97
7,28,70,20,2.0,2.0,2.5,-2.59,20,45.0,0.97
7,28,72,20,2.0,2.0,2.5,-2.59,20,45.0,0.97
7,30,70,20,2.0,2.0,2.5,-2.59,20,45.0,0.97
7,28,70,20,2.0,1.2,3.0,-15.16,20,25.0,0.77
7,30,72,20,2.0,1.2,3.0,-15.16,20,25.0,0.77
7,28,72,20,2.0,1.2,3.0,-15.16,20,25.0,0.77
7,30,70,20,2.0,1.2,3.0,-15.16,20,25.0,0.77
7,28,72,20,2.0,2.0,3.0,-22.14,20,35.0,0.77
7,28,70,20,2.0,2.0,3.0,-22.14,20,35.0,0.77
7,30,70,20,2.0,2.0,3.0,-22.14,20,35.0,0.77
7,30,72,20,2.0,2.0,3.0,-22.14,20,35.0,0.77
